*****0*****
m;2019-09-18 13:27:19;0.1555, 0.6143, 0.5048, 0.6909000000000001, 0.16499999999999998
u;2019-09-18 13:27:20;561.2770079999998
g;2019-09-18 13:27:23;-73.9289285, 45.429321333333334
*****1*****
m;2019-09-18 13:27:49;0.1375, 0.7103999999999999, 0.7536999999999999, 0.9939, 0.16849999999999998
u;2019-09-18 13:27:49;520.15680576
g;2019-09-18 13:27:52;-73.92894683333333, 45.429332
*****2*****
m;2019-09-18 13:28:12;0.1466, 0.674, 0.45940000000000003, 0.6173, 0.1203
u;2019-09-18 13:28:13;615.2558687999998
g;2019-09-18 13:28:16;-73.9289615, 45.429343
*****3*****
m;2019-09-18 13:29:02;0.1292, 0.6383000000000001, 0.42469999999999997, 0.551, 0.1216
u;2019-09-18 13:29:02;682.7294448
g;2019-09-18 13:29:05;-73.92894966666667, 45.429347166666666
*****4*****
m;2019-09-18 13:29:36;0.1146, 0.5875, 0.3984, 0.5018, 0.1302
u;2019-09-18 13:29:37;665.03159856
g;2019-09-18 13:29:40;-73.92894116666666, 45.4293295
*****5*****
m;2019-09-18 13:29:53;0.1243, 0.5888, 0.5502, 0.7065, 0.18269999999999997
u;2019-09-18 13:29:53;463.98612815999985
g;2019-09-18 13:29:56;-73.92894116666666, 45.42932233333333
*****6*****
m;2019-09-18 13:30:11;0.1149, 0.5095000000000001, 0.32020000000000004, 0.40310000000000007, 0.13089999999999996
u;2019-09-18 13:30:12;820.9514289599999
g;2019-09-18 13:30:15;-73.92894233333334, 45.42931316666667
*****7*****
m;2019-09-18 13:30:30;0.1546, 0.698, 0.5506, 0.7521, 0.1337
u;2019-09-18 13:30:30;714.42053712
g;2019-09-18 13:30:34;-73.9289415, 45.42930466666667
