*****0*****
m;2019-09-18 14:38:28;0.07210000000000001, 0.17989999999999998, 0.20989999999999998, 0.2427, 0.1686
u;2019-09-18 14:38:29;793.0938672
g;2019-09-18 14:38:31;-73.92879333333333, 45.4293575
*****1*****
m;2019-09-18 14:38:42;0.07719999999999999, 0.39740000000000003, 0.27270000000000005, 0.31809999999999994, 0.13710000000000003
u;2019-09-18 14:38:43;1005.2617334399998
g;2019-09-18 14:38:45;-73.92879216666667, 45.42936516666666
*****2*****
m;2019-09-18 14:38:57;0.08209999999999998, 0.1824, 0.20989999999999998, 0.2474, 0.17099999999999999
u;2019-09-18 14:38:58;516.6928756799999
g;2019-09-18 14:39:00;-73.928787, 45.429371
*****3*****
m;2019-09-18 14:39:09;0.08139999999999999, 0.28719999999999996, 0.21509999999999999, 0.25329999999999997, 0.14020000000000002
u;2019-09-18 14:39:09;1489.4641483199998
g;2019-09-18 14:39:12;-73.92878816666666, 45.429375666666665
*****4*****
m;2019-09-18 14:39:28;0.1597, 0.5963, 0.2712, 0.3745, 0.09469999999999998
u;2019-09-18 14:39:29;751.6212552
g;2019-09-18 14:39:31;-73.92879066666667, 45.4293865
*****5*****
m;2019-09-18 14:39:45;0.11510000000000001, 0.2866, 0.14919999999999997, 0.188, 0.1042
u;2019-09-18 14:39:46;901.19770992
g;2019-09-18 14:39:48;-73.92880533333333, 45.429391333333335
*****6*****
m;2019-09-18 14:39:55;0.136, 0.5650000000000001, 0.24589999999999995, 0.3232, 0.08979999999999998
u;2019-09-18 14:39:56;599.7068625599999
g;2019-09-18 14:39:59;-73.9288125, 45.429389666666665
*****7*****
m;2019-09-18 14:40:09;0.09079999999999998, 0.2544, 0.21080000000000002, 0.2529, 0.15019999999999997
u;2019-09-18 14:40:10;656.76286224
g;2019-09-18 14:40:13;-73.92881016666666, 45.4293785
