*****0*****
m;2019-09-18 13:34:36;0.1109, 0.44040000000000007, 0.4309, 0.5385, 0.20930000000000004
u;2019-09-18 13:34:36;569.86377264
g;2019-09-18 13:34:39;-73.92892383333333, 45.4292855
*****1*****
m;2019-09-18 13:34:50;0.11379999999999998, 0.5518000000000001, 0.6832, 0.8583999999999999, 0.24779999999999996
u;2019-09-18 13:34:50;582.8599569599999
g;2019-09-18 13:34:53;-73.92891683333333, 45.42927533333334
*****2*****
m;2019-09-18 13:35:05;0.1416, 0.5720000000000001, 0.5288999999999999, 0.7037, 0.1916
u;2019-09-18 13:35:06;612.9007401599999
g;2019-09-18 13:35:09;-73.9289135, 45.42926766666667
*****3*****
m;2019-09-18 13:35:19;7.458200000000003, 0.7053999999999998, 0.46749999999999997, 0.6663000000000001, 0.11510000000000002
u;2019-09-18 13:35:20;518.49790128
g;2019-09-18 13:35:23;-73.92891483333334, 45.42925733333333
*****4*****
m;2019-09-18 13:35:48;0.15139999999999998, 0.6395, 0.40440000000000004, 0.5485, 0.1206
u;2019-09-18 13:35:49;597.5064504
g;2019-09-18 13:35:52;-73.92889, 45.4292585
*****5*****
m;2019-09-18 13:36:18;0.3302, 0.6728000000000002, 0.5700000000000001, 0.7625, 0.14899999999999997
u;2019-09-18 13:36:19;634.04532576
g;2019-09-18 13:36:22;-73.92888483333333, 45.429268666666665
*****6*****
m;2019-09-18 13:36:39;0.1434, 0.6809000000000002, 0.6584, 0.8792, 0.1669
u;2019-09-18 13:36:40;484.81268543999994
g;2019-09-18 13:36:43;-73.92889333333333, 45.429282666666666
*****7*****
m;2019-09-18 13:37:01;17.0453, 0.6553000000000001, 0.5136, 0.7127999999999999, 0.1482
u;2019-09-18 13:37:02;704.0631283199999
g;2019-09-18 13:37:05;-73.9288975, 45.4292905
