*****0*****
m;2019-09-18 14:26:23;0.1283, 0.5496, 0.38180000000000003, 0.49420000000000003, 0.1437
u;2019-09-18 14:26:24;715.0565937599998
g;2019-09-18 14:26:26;-73.9288335, 45.429351833333335
*****1*****
m;2019-09-18 14:26:43;0.09109999999999999, 0.38970000000000005, 0.45620000000000005, 0.5477, 0.24059999999999998
u;2019-09-18 14:26:44;518.9018831999999
g;2019-09-18 14:26:46;-73.92884266666667, 45.42936616666667
*****2*****
m;2019-09-18 14:26:57;0.08349999999999999, 0.3599, 0.2691, 0.31810000000000005, 0.1498
u;2019-09-18 14:26:58;687.48267888
g;2019-09-18 14:27:00;-73.92883616666667, 45.4293595
*****3*****
m;2019-09-18 14:27:05;0.1316, 0.5319, 0.3834000000000001, 0.4997, 0.15269999999999997
u;2019-09-18 14:27:06;666.89679168
g;2019-09-18 14:27:09;-73.92883166666667, 45.4293555
*****4*****
m;2019-09-18 14:27:24;0.1176, 0.5412, 0.44480000000000003, 0.5635999999999999, 0.16770000000000002
u;2019-09-18 14:27:25;599.5779321599999
g;2019-09-18 14:27:27;-73.92883983333333, 45.429365833333335
*****5*****
m;2019-09-18 14:27:36;0.1187, 0.6577999999999999, 0.5996, 0.7609999999999999, 0.157
u;2019-09-18 14:27:37;502.5878899199999
g;2019-09-18 14:27:39;-73.928837, 45.42936483333333
*****6*****
m;2019-09-18 14:28:05;0.1103, 0.4447, 0.2941, 0.36669999999999997, 0.1409
u;2019-09-18 14:28:06;598.2886281600001
g;2019-09-18 14:28:08;-73.9288285, 45.42937283333333
*****7*****
m;2019-09-18 14:28:32;0.12289999999999998, 0.5436, 0.4297999999999999, 0.5503, 0.1628
u;2019-09-18 14:28:33;652.4995636799999
g;2019-09-18 14:28:35;-73.928826, 45.429366
