m;2019-07-05 13:59:22;0.1613, 0.49349999999999994, 0.1527, 0.2113, 0.07159999999999998
m;2019-07-05 13:59:22;985.8104337599998
g;2019-07-05 13:59:27;-73.92880683333334, 45.4293255
m;2019-07-05 13:59:39;0.10290000000000002, 0.25810000000000005, 0.11710000000000001, 0.144, 0.08489999999999999
m;2019-07-05 13:59:40;942.3007214399997
g;2019-07-05 13:59:44;-73.92881083333333, 45.42935583333333
m;2019-07-05 13:59:53;0.06090000000000001, 0.1277, 0.1079, 0.12189999999999998, 0.09419999999999998
m;2019-07-05 13:59:54;910.0767168
g;2019-07-05 13:59:58;-73.92881316666667, 45.42937033333333
m;2019-07-05 14:00:09;0.0674, 0.13990000000000002, 0.1116, 0.1277, 0.09649999999999999
m;2019-07-05 14:00:10;899.1090374399998
g;2019-07-05 14:00:14;-73.92882, 45.4293745
m;2019-07-05 14:00:22;0.0553, 0.1291, 0.10969999999999999, 0.12279999999999999, 0.09469999999999998
m;2019-07-05 14:00:23;897.1063185599999
g;2019-07-05 14:00:27;-73.92881533333333, 45.42935716666667
m;2019-07-05 14:00:36;0.06410000000000002, 0.15149999999999997, 0.10469999999999999, 0.11909999999999998, 0.08769999999999997
m;2019-07-05 14:00:37;929.82885408
g;2019-07-05 14:00:41;-73.92881633333333, 45.4293435
