*****0*****
m;2019-09-18 14:22:12;0.07579999999999999, 0.551, 0.7175999999999999, 0.8351, 0.24180000000000001
u;2019-09-18 14:22:13;616.4506238399999
g;2019-09-18 14:22:15;-73.92882666666667, 45.429285166666666
*****1*****
m;2019-09-18 14:22:23;0.09179999999999998, 0.43079999999999996, 0.5417000000000001, 0.6511999999999999, 0.259
u;2019-09-18 14:22:24;726.02427312
g;2019-09-18 14:22:26;-73.9288245, 45.42928066666666
*****2*****
m;2019-09-18 14:22:37;0.05499999999999999, 0.35259999999999997, 0.5203, 0.5809999999999998, 0.2779
u;2019-09-18 14:22:38;398.83329935999996
g;2019-09-18 14:22:40;-73.92882966666667, 45.429286833333336
*****3*****
m;2019-09-18 14:22:51;0.0688, 0.5197999999999999, 0.49380000000000007, 0.5671000000000002, 0.1787
u;2019-09-18 14:22:52;703.51302528
g;2019-09-18 14:22:54;-73.92882666666667, 45.42928216666667
*****4*****
m;2019-09-18 14:23:22;0.08989999999999998, 0.41419999999999996, 0.45439999999999997, 0.5442000000000001, 0.2254
u;2019-09-18 14:23:23;893.6423884799999
g;2019-09-18 14:23:25;-73.928804, 45.429277
*****5*****
m;2019-09-18 14:23:35;0.10229999999999999, 0.37520000000000003, 0.5528000000000001, 0.6789, 0.3082
u;2019-09-18 14:23:36;674.2630151999999
g;2019-09-18 14:23:38;-73.92879783333333, 45.42928
*****6*****
m;2019-09-18 14:23:51;0.1517, 0.7307, 0.5307999999999999, 0.7206999999999999, 0.11210000000000002
u;2019-09-18 14:23:52;986.8762583999999
g;2019-09-18 14:23:54;-73.92879383333333, 45.4292915
*****7*****
m;2019-09-18 14:24:08;0.1059, 0.4729000000000001, 0.5171000000000001, 0.6399, 0.22900000000000004
u;2019-09-18 14:24:09;535.7058119999999
g;2019-09-18 14:24:11;-73.92879083333334, 45.429305666666664
