*****0*****
m;2019-07-25 17:12:33;0.24080000000000004, 0.6545, 0.2968, 0.4851000000000001, 0.1012
u;2019-07-25 17:12:34;801.85253904
g;2019-07-25 17:12:36;-73.928836, 45.42935216666667
*****1*****
m;2019-07-25 17:12:46;0.24359999999999998, 0.6937, 0.34670000000000006, 0.5699, 0.1031
u;2019-07-25 17:12:47;518.3947569599999
g;2019-07-25 17:12:49;-73.92884, 45.429357
*****2*****
m;2019-07-25 17:13:03;0.23679999999999998, 0.7392, 0.3585, 0.5812, 0.08709999999999998
u;2019-07-25 17:13:04;606.7034855999999
g;2019-07-25 17:13:06;-73.92884533333333, 45.429369333333334
*****3*****
m;2019-07-25 17:13:31;0.16899999999999998, 0.41859999999999997, 0.26239999999999997, 0.36940000000000006, 0.15129999999999996
u;2019-07-25 17:13:32;552.81917376
g;2019-07-25 17:13:34;-73.9288545, 45.4293765
*****4*****
m;2019-07-25 17:13:57;0.24000000000000005, 0.661, 0.3024, 0.49349999999999994, 0.10069999999999998
u;2019-07-25 17:13:58;364.9847716799999
g;2019-07-25 17:14:00;-73.92883933333333, 45.429384166666665
*****5*****
m;2019-07-25 17:14:11;0.2566, 0.7434000000000001, 0.40140000000000003, 0.6784, 0.09979999999999999
u;2019-07-25 17:14:12;658.81715328
g;2019-07-25 17:14:14;-73.928839, 45.429379
*****6*****
m;2019-07-25 17:14:21;0.26609999999999995, 0.7672, 0.36039999999999994, 0.6217999999999999, 0.0819
u;2019-07-25 17:14:22;654.89766912
g;2019-07-25 17:14:24;-73.92883283333333, 45.42937466666667
*****7*****
m;2019-07-25 17:14:32;0.30169999999999997, 0.8450999999999999, 0.3823, 0.7128, 0.059699999999999996
u;2019-07-25 17:14:33;751.0453660799999
g;2019-07-25 17:14:35;-73.92883133333333, 45.429371333333336
*****8*****
m;2019-07-25 17:14:45;0.27280000000000004, 0.8226999999999999, 0.38349999999999995, 0.6712, 0.0653
u;2019-07-25 17:14:45;508.27801824
g;2019-07-25 17:14:48;-73.92882866666666, 45.42936733333333
*****9*****
m;2019-07-25 17:14:57;0.1727, 0.4516, 0.2595, 0.3679, 0.13900000000000004
u;2019-07-25 17:14:58;127.38323519999999
g;2019-07-25 17:15:00;-73.92882466666667, 45.4293585
