*****0*****
m;2019-09-18 14:06:16;0.08429999999999999, 0.41369999999999996, 0.41209999999999997, 0.48789999999999994, 0.20260000000000003
u;2019-09-18 14:06:16;683.0388777599999
g;2019-09-18 14:06:19;-73.92885566666666, 45.4292955
*****1*****
m;2019-09-18 14:06:27;0.1042, 0.4349, 0.41059999999999997, 0.506, 0.1994
u;2019-09-18 14:06:28;649.6287134399998
g;2019-09-18 14:06:30;-73.92885916666667, 45.42929
*****2*****
m;2019-09-18 14:06:44;0.1274, 0.6049, 0.48789999999999994, 0.6303000000000001, 0.15519999999999998
u;2019-09-18 14:06:45;682.05041136
g;2019-09-18 14:06:48;-73.92885483333333, 45.429281333333336
*****3*****
m;2019-09-18 14:07:02;0.10469999999999999, 0.48250000000000004, 0.4244, 0.5238, 0.1828
u;2019-09-18 14:07:03;711.6012590399998
g;2019-09-18 14:07:05;-73.9288455, 45.429269
*****4*****
m;2019-09-18 14:07:23;0.07889999999999998, 0.26339999999999997, 0.26180000000000003, 0.30660000000000004, 0.17870000000000003
u;2019-09-18 14:07:24;711.6528311999999
g;2019-09-18 14:07:26;-73.9288165, 45.42926883333333
*****5*****
m;2019-09-18 14:07:41;0.0705, 0.45230000000000004, 0.4290999999999999, 0.4941, 0.18630000000000002
u;2019-09-18 14:07:42;987.8819155199997
g;2019-09-18 14:07:44;-73.92882016666667, 45.42927566666667
*****6*****
m;2019-09-18 14:08:06;0.0708, 0.20109999999999997, 0.24380000000000002, 0.281, 0.1868
u;2019-09-18 14:08:07;908.2974772800002
g;2019-09-18 14:08:09;-73.92883016666667, 45.429288166666666
*****7*****
m;2019-09-18 14:08:32;0.08279999999999998, 0.30979999999999996, 0.36089999999999994, 0.4264, 0.22450000000000006
u;2019-09-18 14:08:32;798.8957351999999
g;2019-09-18 14:08:35;-73.92884166666667, 45.42930583333333
