Longitude;Latitude;Plot;Variety;NDRE;NDVI;RedEdge;NIR;Red;Distance
-73.9288975;45.42935567;111;Sheek;0.0853;0.164;0.1125;0.1335;0.0958;931.0751813
-73.92890633;45.42936067;111;Sheek;0.0727;0.1497;0.1242;0.1437;0.1062;905.6329157
-73.9289135;45.42935033;111;Sheek;0.0794;0.1468;0.1197;0.1406;0.1045;868.2688858
-73.92890233;45.42933767;111;Sheek;0.0992;0.2459;0.1269;0.1549;0.0939;946.4866618
-73.92885667;45.429294;201;Mast;0.0586;0.096;0.0887;0.0999;0.0824;1003.130084
-73.9288485;45.42928383;201;Mast;0.099;0.2326;0.1137;0.139;0.0864;996.2881776
-73.92883533;45.4292645;201;Mast;0.0544;0.0965;0.1121;0.125;0.103;914.6580437
-73.92882117;45.4292775;201;Mast;0.0614;0.1152;0.1088;0.1229;0.0975;947.5868678
-73.92882317;45.42928983;201;Mast;0.0614;0.1119;0.0921;0.104;0.0831;995.0590411
-73.92882867;45.429304;201;Mast;0.0487;0.0921;0.0962;0.1063;0.0883;992.3944795
-73.92888817;45.42936617;202;Argosy;0.0913;0.2344;0.1382;0.1659;0.1029;896.9773882
-73.92888417;45.4293585;202;Argosy;0.1619;0.5157;0.1537;0.2129;0.0681;973.3643525
-73.92887983;45.42934833;202;Argosy;0.1267;0.3265;0.1252;0.1614;0.0819;945.4294325
-73.92886367;45.42935367;202;Argosy;0.0897;0.2007;0.1059;0.1268;0.0845;929.8718309
-73.92887267;45.4293665;202;Argosy;0.0439;0.1005;0.1022;0.1116;0.0911;890.2214352
-73.92887583;45.42937383;202;Argosy;0.1255;0.3325;0.117;0.1509;0.0755;981.9167357
-73.92886967;45.42938483;203;Red Rider;0.1456;0.339;0.1286;0.1725;0.0854;961.7090443
-73.9288645;45.429384;203;Red Rider;0.2069;0.7475;0.263;0.4003;0.058;976.4414914
-73.92884567;45.42936917;203;Red Rider;0.1664;0.5446;0.1859;0.2601;0.0767;976.4672774
-73.92883067;45.42935767;203;Red Rider;0.1479;0.4498;0.1441;0.194;0.0737;1007.21288
-73.928842;45.42936617;203;Red Rider;0.1605;0.5558;0.1741;0.2408;0.0689;913.8500798
-73.92884783;45.42937217;203;Red Rider;0.1215;0.3139;0.1257;0.1605;0.0838;913.7555309
-73.92882967;45.429311;204;Apex;0.0476;0.0986;0.1012;0.1115;0.0914;935.6393174
-73.92880783;45.4293055;204;Apex;0.0702;0.1262;0.0982;0.1133;0.0878;914.9159045
-73.92880083;45.42929533;204;Apex;0.112;0.3368;0.1374;0.172;0.0852;990.9590544
-73.92880183;45.42929283;204;Apex;0.0591;0.0998;0.1133;0.1276;0.1045;924.5856845
-73.92881117;45.429299;204;Apex;0.101;0.2461;0.118;0.1446;0.0875;869.0338728
-73.92876617;45.42930983;205;Nautica;0.0565;0.1098;0.113;0.1266;0.1017;948.9019579
-73.92876033;45.42930383;205;Nautica;0.0651;0.1024;0.1074;0.1223;0.0997;936.344137
-73.92875933;45.42929133;205;Nautica;0.1055;0.3238;0.1309;0.1617;0.0824;987.0223795
-73.92876483;45.42928167;205;Nautica;0.0673;0.1757;0.1129;0.1293;0.0907;967.6656288
-73.92877433;45.42928967;205;Nautica;0.0965;0.2636;0.1239;0.1504;0.0876;973.5362597
-73.9287845;45.42930267;205;Nautica;0.0995;0.2726;0.1283;0.1567;0.0893;961.8035933
-73.92878567;45.4293045;205;Nautica;0.097;0.3125;0.0724;0.0884;0.0458;1337.034034
-73.92880683;45.4293255;206;Dresden;0.1613;0.4935;0.1527;0.2113;0.0716;985.8104338
-73.92881083;45.42935583;206;Dresden;0.1029;0.2581;0.1171;0.144;0.0849;942.3007214
-73.92881317;45.42937033;206;Dresden;0.0609;0.1277;0.1079;0.1219;0.0942;910.0767168
-73.92882;45.4293745;206;Dresden;0.0674;0.1399;0.1116;0.1277;0.0965;899.1090374
-73.92881533;45.42935717;206;Dresden;0.0553;0.1291;0.1097;0.1228;0.0947;897.1063186
-73.92881633;45.4293435;206;Dresden;0.0641;0.1515;0.1047;0.1191;0.0877;929.8288541
-73.92881433;45.4293515;207;Knight Rider;0.0913;0.1624;0.1123;0.1351;0.097;879.6663331
-73.92881333;45.42937017;207;Knight Rider;0.059;0.1214;0.105;0.1182;0.0923;880.9126603
-73.92880617;45.42938217;207;Knight Rider;0.0646;0.1354;0.1158;0.132;0.1005;889.8604301
-73.92880733;45.429378;207;Knight Rider;0.0519;0.1062;0.1072;0.1189;0.096;916.2911621
-73.9288015;45.4293565;207;Knight Rider;0.0831;0.1431;0.0932;0.1103;0.0828;967.6570334
-73.9287985;45.429342;207;Knight Rider;0.1076;0.2819;0.1264;0.157;0.0879;960.1274981
-73.928809;45.42931967;208;Calmant;0.1273;0.2981;0.1287;0.1662;0.0898;891.7256232
-73.92878883;45.42931433;208;Calmant;0.0596;0.1055;0.1165;0.1313;0.1062;891.2013062
-73.92877283;45.42930217;208;Calmant;0.0719;0.1429;0.1065;0.123;0.092;894.1667054
-73.92875517;45.42928533;208;Calmant;0.0691;0.1307;0.1241;0.1426;0.1096;855.5821344
-73.928759;45.42929883;208;Calmant;0.0551;0.1046;0.1101;0.1231;0.0996;874.5864754
-73.92877783;45.429309;208;Calmant;0.0735;0.1562;0.1172;0.1358;0.0993;863.3867213
-73.92879733;45.42932167;209;Majesty;0.0588;0.1097;0.1126;0.1267;0.1016;1629.104367
-73.92878267;45.42931583;209;Majesty;0.1157;0.2398;0.1167;0.1474;0.0903;897.4587283
-73.92875933;45.42929483;209;Majesty;0.1023;0.2116;0.1139;0.1398;0.0909;920.8552982
-73.92875283;45.42929633;209;Majesty;0.1308;0.3312;0.1266;0.1647;0.0827;951.5235427
-73.92876033;45.4293005;209;Majesty;0.0699;0.1261;0.099;0.114;0.0884;875.867184
-73.92876267;45.429311;209;Majesty;0.0885;0.1789;0.1105;0.1321;0.092;980.1203054
-73.92879267;45.429349;210;Compass;0.0724;0.1352;0.1017;0.1176;0.0896;971.0178192
-73.92880333;45.42936567;210;Compass;0.0758;0.1401;0.1029;0.1195;0.0902;971.5765176
-73.928801;45.4293675;210;Compass;0.0732;0.1392;0.1056;0.1223;0.0924;917.6234429
-73.92878283;45.42937883;210;Compass;0.1883;0.5494;0.17;0.2491;0.0723;903.4840757
-73.9287715;45.42938117;210;Compass;0.0983;0.2221;0.1262;0.1535;0.0978;882.3996576
-73.9287715;45.42935017;210;Compass;0.0944;0.1895;0.1184;0.1428;0.0974;956.1220603
-73.928778;45.42935983;211;Sheek;0.0659;0.1037;0.1122;0.1281;0.1041;898.8941534
-73.92877333;45.42937583;211;Sheek;0.0804;0.1418;0.1067;0.1253;0.0941;841.1849064
-73.92878;45.42939317;211;Sheek;0.0873;0.1541;0.1114;0.1329;0.0972;952.245553
-73.92877783;45.42939917;211;Sheek;0.0597;0.1069;0.1049;0.1182;0.0952;923.7605299
-73.9287705;45.429381;211;Sheek;0.0628;0.1111;0.0932;0.106;0.0846;1004.9523
-73.9287745;45.42938;211;Sheek;0.0639;0.1094;0.0925;0.1051;0.0841;1005.373473
-73.92875033;45.4293625;211;Sheek;0.0646;0.1046;0.0964;0.1096;0.0888;907.3433923
-73.928749;45.429381;301;Soil;0.0524;0.1211;0.0994;0.1104;0.0865;932.1496013
-73.92875067;45.42938117;301;Soil;0.0598;0.1182;0.0973;0.1098;0.0864;775.4561885
