*****0*****
m;2019-08-20 15:09:09;0.2783, 0.7317, 0.2983, 0.5283000000000001, 0.0817
u;2019-08-20 15:09:09;563.8040438400001
g;2019-08-20 15:09:12;-73.928916, 45.42932916666667
*****1*****
m;2019-08-20 15:09:24;0.25570000000000004, 0.7049000000000001, 0.36169999999999997, 0.6106, 0.10529999999999999
u;2019-08-20 15:09:25;743.22358848
g;2019-08-20 15:09:27;-73.928926, 45.42933033333333
*****2*****
m;2019-08-20 15:09:50;0.2344, 0.6312, 0.26780000000000004, 0.4319, 0.09739999999999999
u;2019-08-20 15:09:51;465.34419504
g;2019-08-20 15:09:54;-73.928934, 45.429337833333335
*****3*****
m;2019-08-20 15:10:46;0.273, 0.7624000000000002, 0.34140000000000004, 0.5975, 0.08059999999999999
u;2019-08-20 15:10:46;601.5118881599999
g;2019-08-20 15:10:49;-73.928901, 45.42935516666667
*****4*****
m;2019-08-20 15:11:16;0.3259, 0.8004, 0.36, 0.7084, 0.07849999999999999
u;2019-08-20 15:11:17;412.43975424
g;2019-08-20 15:11:20;-73.92889183333334, 45.429347666666665
*****5*****
m;2019-08-20 15:11:44;0.24570000000000003, 0.7414, 0.3544, 0.5852999999999999, 0.08699999999999998
u;2019-08-20 15:11:45;505.94008032
g;2019-08-20 15:11:48;-73.92888433333333, 45.429344
*****6*****
m;2019-08-20 15:12:04;0.32049999999999995, 0.8219, 0.3912, 0.7604, 0.07429999999999999
u;2019-08-20 15:12:05;262.27881504
g;2019-08-20 15:12:07;-73.92888183333334, 45.429343
*****7*****
m;2019-08-20 15:12:34;0.3325, 0.8493, 0.5577000000000001, 1.1137000000000001, 0.09089999999999998
u;2019-08-20 15:12:34;520.1052336
g;2019-08-20 15:12:37;-73.9288895, 45.42932883333334
