*****0*****
m;2019-09-18 13:40:56;0.10129999999999999, 0.20270000000000002, 0.2072, 0.2538, 0.16820000000000002
u;2019-09-18 13:40:57;856.4846471999999
g;2019-09-18 13:41:00;-73.92887616666667, 45.4293295
*****1*****
m;2019-09-18 13:41:15;0.12309999999999999, 0.2599, 0.1548, 0.19790000000000002, 0.11640000000000002
u;2019-09-18 13:41:15;937.67641776
g;2019-09-18 13:41:18;-73.9288725, 45.42933433333334
*****2*****
m;2019-09-18 13:41:26;0.09929999999999999, 0.2529, 0.2521, 0.3075, 0.1832
u;2019-09-18 13:41:27;932.59656
g;2019-09-18 13:41:30;-73.928863, 45.429332
*****3*****
m;2019-09-18 13:41:47;0.0783, 0.3078, 0.2507, 0.2931, 0.155
u;2019-09-18 13:41:48;613.1757916799999
g;2019-09-18 13:41:51;-73.92885666666666, 45.429341
*****4*****
m;2019-09-18 13:42:02;0.1592, 0.5476000000000001, 0.34029999999999994, 0.46959999999999996, 0.13729999999999998
u;2019-09-18 13:42:03;815.53635216
g;2019-09-18 13:42:06;-73.92886133333333, 45.42935
*****5*****
m;2019-09-18 13:42:17;0.1052, 0.23819999999999997, 0.16830000000000003, 0.20790000000000003, 0.128
u;2019-09-18 13:42:18;851.8517481599998
g;2019-09-18 13:42:21;-73.928866, 45.4293565
*****6*****
m;2019-09-18 13:42:39;0.09499999999999999, 0.24070000000000005, 0.2012, 0.24349999999999997, 0.1487
u;2019-09-18 13:42:40;549.60450912
g;2019-09-18 13:42:43;-73.92887916666666, 45.429361
*****7*****
m;2019-09-18 13:43:07;0.08249999999999999, 0.3293, 0.22360000000000002, 0.26370000000000005, 0.1331
u;2019-09-18 13:43:08;728.3794017600001
g;2019-09-18 13:43:11;-73.92889016666666, 45.429366
