*****0*****
m;2019-07-25 17:15:32;0.16369999999999998, 0.39, 0.2439, 0.3392, 0.14889999999999998
u;2019-07-25 17:15:32;703.53881136
g;2019-07-25 17:15:34;-73.92882033333333, 45.42935033333333
*****1*****
m;2019-07-25 17:15:42;0.2646, 0.7112999999999999, 0.3052, 0.5246999999999999, 0.08849999999999998
u;2019-07-25 17:15:42;419.8661452799999
g;2019-07-25 17:15:44;-73.928822, 45.4293565
*****2*****
m;2019-07-25 17:15:54;0.17729999999999996, 0.39059999999999995, 0.2541999999999999, 0.36369999999999997, 0.1594
u;2019-07-25 17:15:55;714.1970577599999
g;2019-07-25 17:15:57;-73.92882433333334, 45.429362833333336
*****3*****
m;2019-07-25 17:16:08;0.21269999999999997, 0.5304, 0.25060000000000004, 0.3863, 0.11850000000000001
u;2019-07-25 17:16:09;627.7793083199999
g;2019-07-25 17:16:11;-73.92881666666666, 45.4293665
*****4*****
m;2019-07-25 17:16:28;0.20180000000000003, 0.48839999999999995, 0.2413, 0.36369999999999997, 0.1251
u;2019-07-25 17:16:28;762.3310737599999
g;2019-07-25 17:16:30;-73.92880216666667, 45.4293735
*****5*****
m;2019-07-25 17:16:50;0.22240000000000001, 0.5845, 0.2625, 0.41269999999999996, 0.1082
u;2019-07-25 17:16:51;554.4952689599999
g;2019-07-25 17:16:53;-73.92879883333333, 45.42937083333333
*****6*****
m;2019-07-25 17:17:03;0.2048, 0.5025000000000001, 0.2407, 0.3644, 0.12090000000000001
u;2019-07-25 17:17:03;688.3765963199999
g;2019-07-25 17:17:05;-73.92880116666667, 45.4293645
*****7*****
m;2019-07-25 17:17:16;0.3196, 0.8476999999999999, 0.34119999999999995, 0.6613, 0.054400000000000004
u;2019-07-25 17:17:17;713.5781918399999
g;2019-07-25 17:17:19;-73.92879933333333, 45.4293575
*****8*****
m;2019-07-25 17:17:57;0.24309999999999996, 0.5922999999999999, 0.2675, 0.43970000000000004, 0.11270000000000002
u;2019-07-25 17:17:58;720.3685262399999
g;2019-07-25 17:18:00;-73.92879933333333, 45.429358666666666
