*****0*****
m;2019-09-18 13:19:13;0.12060000000000001, 0.5915999999999999, 0.45489999999999997, 0.5799999999999998, 0.14889999999999998
u;2019-09-18 13:19:14;613.7087039999999
g;2019-09-18 13:19:17;-73.92892733333333, 45.429281833333334
*****1*****
m;2019-09-18 13:19:29;0.11400000000000002, 0.5811999999999999, 0.3628, 0.45600000000000007, 0.12079999999999998
u;2019-09-18 13:19:30;643.98156192
g;2019-09-18 13:19:33;-73.9289235, 45.42927433333333
*****2*****
m;2019-09-18 13:19:47;0.1232, 0.5701, 0.5656, 0.7245999999999999, 0.19840000000000002
u;2019-09-18 13:19:47;596.5437700800001
g;2019-09-18 13:19:50;-73.92892333333333, 45.429269
*****3*****
m;2019-09-18 13:20:10;0.1234, 0.5769, 0.4048999999999999, 0.5188, 0.1393
u;2019-09-18 13:20:11;586.55596176
g;2019-09-18 13:20:14;-73.92889916666667, 45.429268
*****4*****
m;2019-09-18 13:20:28;0.13010000000000002, 0.6343, 0.4171, 0.5419, 0.12129999999999999
u;2019-09-18 13:20:29;656.86600656
g;2019-09-18 13:20:32;-73.92889683333334, 45.42927616666667
*****5*****
m;2019-09-18 13:20:52;0.1796, 0.7478, 0.4577, 0.6584, 0.09509999999999999
u;2019-09-18 13:20:53;623.9285870399998
g;2019-09-18 13:20:56;-73.9288995, 45.4292895
*****6*****
m;2019-09-18 13:21:07;0.12920000000000004, 0.6231000000000001, 0.48740000000000006, 0.6321999999999999, 0.1467
u;2019-09-18 13:21:08;616.9405593599997
g;2019-09-18 13:21:11;-73.92890366666667, 45.429293666666666
*****7*****
m;2019-09-18 13:21:26;0.15589999999999998, 0.6551, 0.42519999999999997, 0.5818999999999999, 0.1212
u;2019-09-18 13:21:27;674.4005409599998
g;2019-09-18 13:21:30;-73.92890416666667, 45.429304333333334
