*****0*****
m;2019-07-25 16:13:58;0.175, 0.44719999999999993, 0.21280000000000002, 0.3031, 0.11600000000000002
u;2019-07-25 16:13:58;775.2069230399998
g;2019-07-25 16:14:02;-73.92897433333333, 45.429293666666666
*****1*****
m;2019-07-25 16:14:24;0.27340000000000003, 0.7137, 0.2603, 0.45640000000000003, 0.07629999999999999
u;2019-07-25 16:14:24;910.3259822399999
g;2019-07-25 16:14:26;-73.92897633333334, 45.429302
*****2*****
m;2019-07-25 16:14:38;0.10169999999999998, 0.2169, 0.2378, 0.29159999999999997, 0.18760000000000002
u;2019-07-25 16:14:39;731.1127262399999
g;2019-07-25 16:14:41;-73.92898533333333, 45.42931133333333
*****3*****
m;2019-07-25 16:14:53;0.10629999999999999, 0.21410000000000004, 0.21930000000000005, 0.27160000000000006, 0.17579999999999998
u;2019-07-25 16:14:54;623.7910612799999
g;2019-07-25 16:14:56;-73.92899216666666, 45.429319666666665
*****4*****
m;2019-07-25 16:15:19;0.1638, 0.38659999999999994, 0.22390000000000004, 0.31179999999999997, 0.1378
u;2019-07-25 16:15:19;737.55065088
g;2019-07-25 16:15:22;-73.92897, 45.429332333333335
*****5*****
m;2019-07-25 16:15:43;0.22290000000000001, 0.5262, 0.21730000000000005, 0.3419, 0.10600000000000001
u;2019-07-25 16:15:44;804.8952964799998
g;2019-07-25 16:15:46;-73.92896583333334, 45.429326
*****6*****
m;2019-07-25 16:16:17;0.146, 0.32189999999999996, 0.21359999999999996, 0.28690000000000004, 0.14709999999999995
u;2019-07-25 16:16:17;839.5689787199999
g;2019-07-25 16:16:19;-73.92896266666666, 45.429314
*****7*****
m;2019-07-25 16:16:49;0.1571, 0.354, 0.2307, 0.3167, 0.15109999999999998
u;2019-07-25 16:16:49;868.02821568
g;2019-07-25 16:16:51;-73.928949, 45.429306
