*****0*****
m;2019-08-20 16:04:58;0.03809999999999999, 0.06539999999999999, 0.1903, 0.20529999999999998, 0.1799
u;2019-08-20 16:04:59;988.0882041599998
g;2019-08-20 16:05:02;-73.92874483333334, 45.429374833333334
*****1*****
m;2019-08-20 16:05:06;0.0412, 0.0663, 0.2008, 0.21830000000000002, 0.1911
u;2019-08-20 16:05:06;986.8590676799998
g;2019-08-20 16:05:09;-73.92874683333334, 45.4293715
*****2*****
m;2019-08-20 16:05:12;0.044899999999999995, 0.072, 0.201, 0.21990000000000004, 0.19050000000000003
u;2019-08-20 16:05:13;987.71860368
g;2019-08-20 16:05:16;-73.9287455, 45.42936983333333
