*****0*****
m;2019-08-20 15:01:20;0.2766, 0.7723000000000001, 0.32419999999999993, 0.5720999999999999, 0.07339999999999999
u;2019-08-20 15:01:21;373.8379924799999
g;2019-08-20 15:01:24;-73.928933, 45.4292725
*****1*****
m;2019-08-20 15:01:47;0.28869999999999996, 0.8094999999999999, 0.37399999999999994, 0.6769000000000001, 0.0712
u;2019-08-20 15:01:48;449.29665792
g;2019-08-20 15:01:51;-73.928928, 45.42927066666667
*****2*****
m;2019-08-20 15:02:21;0.29979999999999996, 0.8243, 0.3947, 0.733, 0.0706
u;2019-08-20 15:02:22;382.84592975999993
g;2019-08-20 15:02:25;-73.928914, 45.42925916666667
*****3*****
m;2019-08-20 15:02:56;0.2938, 0.8375999999999999, 0.46160000000000007, 0.8458, 0.07479999999999999
u;2019-08-20 15:02:56;499.59670464
g;2019-08-20 15:02:59;-73.92890683333333, 45.42924266666667
*****4*****
m;2019-08-20 15:03:33;0.3041, 0.8279, 0.38639999999999997, 0.724, 0.0683
u;2019-08-20 15:03:34;435.35498399999994
g;2019-08-20 15:03:37;-73.928871, 45.429265
*****5*****
m;2019-08-20 15:03:55;0.2929, 0.8033000000000001, 0.33690000000000003, 0.6159, 0.0673
u;2019-08-20 15:03:56;351.78229872
g;2019-08-20 15:03:58;-73.928868, 45.42928233333333
*****6*****
m;2019-08-20 15:04:12;0.3117, 0.8564999999999999, 0.4786999999999999, 0.9128999999999999, 0.0703
u;2019-08-20 15:04:13;408.0045484799999
g;2019-08-20 15:04:16;-73.92887216666666, 45.429290333333334
*****7*****
m;2019-08-20 15:04:33;0.3026, 0.8606000000000001, 0.4630000000000001, 0.8645999999999999, 0.0649
u;2019-08-20 15:04:34;431.32376016
g;2019-08-20 15:04:37;-73.92887416666667, 45.4292985
