*****0*****
m;2019-09-18 14:34:34;0.1337, 0.5370000000000001, 0.3779, 0.49490000000000006, 0.14899999999999997
u;2019-09-18 14:34:35;626.7736512
g;2019-09-18 14:34:37;-73.92876666666666, 45.429319666666665
*****1*****
m;2019-09-18 14:34:46;0.15259999999999999, 0.6136999999999999, 0.3053, 0.41550000000000004, 0.0996
u;2019-09-18 14:34:46;702.81680112
g;2019-09-18 14:34:49;-73.92876833333334, 45.429311166666665
*****2*****
m;2019-09-18 14:35:04;0.1907, 0.6602000000000001, 0.38470000000000004, 0.5664, 0.11600000000000002
u;2019-09-18 14:35:04;502.70822495999994
g;2019-09-18 14:35:07;-73.92876666666666, 45.42930783333333
*****3*****
m;2019-09-18 14:35:21;0.1113, 0.46290000000000003, 0.34429999999999994, 0.4306, 0.1581
u;2019-09-18 14:35:21;536.48798976
g;2019-09-18 14:35:24;-73.928763, 45.42930066666667
*****4*****
m;2019-09-18 14:35:36;0.12269999999999999, 0.5117, 0.3378, 0.43220000000000003, 0.1396
u;2019-09-18 14:35:37;552.3464289599999
g;2019-09-18 14:35:39;-73.92874233333333, 45.429303
*****5*****
m;2019-09-18 14:35:49;0.14689999999999998, 0.5759999999999998, 0.36289999999999994, 0.4878, 0.13140000000000002
u;2019-09-18 14:35:50;567.51723936
g;2019-09-18 14:35:52;-73.92874066666667, 45.42931
*****6*****
m;2019-09-18 14:37:17;0.14509999999999998, 0.576, 0.40570000000000006, 0.5434, 0.14619999999999997
u;2019-09-18 14:37:18;502.55350848
g;2019-09-18 14:37:20;-73.92875766666667, 45.42933133333333
*****7*****
m;2019-09-18 14:37:41;0.13, 0.5521, 0.4555999999999999, 0.5917999999999999, 0.1708
u;2019-09-18 14:37:42;495.21307104
g;2019-09-18 14:37:44;-73.92874933333333, 45.42932416666667
*****8*****
m;2019-09-18 14:38:05;0.14259999999999998, 0.3914, 0.327, 0.4356, 0.1906
u;2019-09-18 14:38:05;780.35554368
g;2019-09-18 14:38:08;-73.928774, 45.42933883333333
